Site,Tree Number,species,Canopy,Status,DBH,Distance,Azimuth,Tag,DistanceTop,AzimuthTop,Decay
TP1,28,TSCA,suppressed,Li,19.5,11.3,249,151425,NA,NA,NA
TP1,29,TSCA,suppressed,Li,10.8,3.7,310,151469,NA,NA,NA
TP1,30,ACRU,suppressed,Sn,20.2,8.4,288,151452,NA,NA,2
TP1,31,ACRU,intermediate,Li,19,10.6,288,151453,NA,NA,NA
TP1,32,TSCA,suppressed,Li,18,7.3,308,151451,NA,NA,NA
TP1,33,TSCA,suppressed,Li,12.7,8.8,302,151450,NA,NA,NA
TP1,34,QURU,dominant,Li,47.3,12.3,300,151441,NA,NA,NA
TP1,35,TSCA,suppressed,Li,22.4,12.2,308,151444,NA,NA,NA
TP1,36,TSCA,suppressed,Li,12.4,10.6,312,151449,NA,NA,NA
TP1,37,ACRU,intermediate,Li,13.6,6.1,334,151455,NA,NA,NA
TP1,38,ACRU,suppressed,Li,19.7,6.8,328,151448,NA,NA,NA
TP1,39,QURU,intermediate,Li,53,9.9,4,151458,NA,NA,NA
TP1,40,FAGR,intermediate,Li,13.3,11,346,151456,NA,NA,NA
TP1,41,TSCA,suppressed,Li,16.4,12.9,9,151580,NA,NA,NA
TP1,42,QURU,dominant,Li,32.8,9.9,4,151459,NA,NA,NA
TP1,43,QURU,codominant,Li,37.7,15.2,34,151576,NA,NA,NA
TP1,44,QURU,codominant,Li,43.3,15.8,50,161830,NA,NA,NA
TP1,45,TSCA,suppressed,Li,20.7,16.2,56,161854,NA,NA,NA
TP1,46,QURU,codominant,Li,34,16.1,60,161853,NA,NA,NA
TP1,47,QURU,codominant,Li,44.2,17.6,74,161761,NA,NA,NA
TP1,48,PIST,suppressed,Li,23.5,15.9,80,161762,NA,NA,NA
TP1,49,QUVE,codominant,Li,28,15,93,161764,NA,NA,NA
TP1,50,QURU,intermediate,Li,27.1,19.7,105,161795,NA,NA,NA
TP1,51,TSCA,suppressed,Li,30.6,16.8,109,161807,NA,NA,NA
TP1,52,QURU,codominant,Li,37.3,14,102,161739,NA,NA,NA
TP1,53,QURU,dominant,Li,44,13.8,130,161741,NA,NA,NA
TP1,54,QURU,codominant,Li,32.8,17.5,122,161800,NA,NA,NA
TP1,55,QURU,suppressed,Li,27.5,16.6,139,161671,NA,NA,NA
TP1,56,QURU,codominant,Li,41,13.1,150,161748,NA,NA,NA
TP1,57,QURU,codominant,Li,38.5,19.4,168,161681,NA,NA,NA
TP1,58,TSCA,suppressed,Li,23.7,17.3,174,161663,NA,NA,NA
TP1,59,TSCA,suppressed,Li,33.7,18.2,186,151389,NA,NA,NA
TP1,60,QURU,codominant,Li,38.1,16.8,188,151388,NA,NA,NA
TP1,61,QUVE,codominant,Li,36.9,13.2,194,151382,NA,NA,NA
TP1,62,QURU,codominant,Li,36.9,17,204,151392,NA,NA,NA
TP1,63,PIST,intermediate,Li,31.8,18.3,205,151374,NA,NA,NA
TP1,64,QURU,codominant,Li,31.3,15.7,209,151376,NA,NA,NA
TP1,65,QURU,intermediate,Li,24.6,14.7,228,151363,NA,NA,NA
TP1,66,QURU,codominant,Li,35.6,17.7,237,151359,NA,NA,NA
TP1,67,TSCA,suppressed,Li,23.5,14.8,241,151360,NA,NA,NA
TP1,68,QUVE,codominant,Li,47.3,18.3,250,141197,NA,NA,NA
TP1,69,TSCA,suppressed,Li,31.5,16.7,263,141273,NA,NA,NA
TP1,70,QURU,codominant,Li,43.7,13.3,268,151420,NA,NA,NA
TP1,71,QURU,codominant,Li,39,20,290,141264,NA,NA,NA
TP1,72,TSCA,suppressed,Li,23.7,14.3,302,151439,NA,NA,NA
TP1,73,TSCA,suppressed,Li,35.2,19.3,314,141260,NA,NA,NA
TP1,74,TSCA,suppressed,Li,21.2,16.3,327,151514,NA,NA,NA
TP1,75,QURU,codominant,Li,48.3,19.7,359,151564,NA,NA,NA
TP1,76,NA,dominant,Lo,60.7,5.8,328,NA,3.9,12,5
TP1,77,NA,NA,St,44.9,12.1,338,NA,NA,NA,5
TP1,78,NA,NA,St,26.7,12,340,NA,NA,NA,5
TP1,79,NA,NA,Sh,39.8,16,2,NA,NA,NA,5
TP1,80,NA,NA,Sh,26.8,15.1,2,NA,NA,NA,5
TP1,81,QURU,codominant,Lo,21.2,19.1,329,NA,17,353,4
TP1,82,NA,NA,Sh,29.9,3.4,184,NA,NA,NA,5
TP1,83,TSCA,suppressed,Sn,10.6,7.6,206,151495,NA,NA,2
TP1,84,NA,NA,Sh,52.3,16.3,208,NA,NA,NA,5
TP1,85,NA,codominant,Lo,20.5,15.8,230,NA,22.2,222,5
TP1,86,NA,NA,Sh,45.1,17.1,243,NA,NA,NA,5
TP1,87,NA,NA,Sh,36.1,17.3,223,NA,NA,NA,5
TP1,88,NA,NA,Sh,10.1,8.3,280,NA,NA,NA,5
TP1,89,TSCA,suppressed,Lo,13.8,7.1,124,161733,4,119,4
TP1,90,BELE,suppressed,Lo,12.1,11.4,69,NA,10.4,44,2
TP1,91,QURU,codominant,Lo,24.5,17.1,118,NA,23.1,100,3
TP2,1,BEAL,suppressed,Li,21.1,1.5,48,171274,NA,NA,NA
TP2,2,BEAL,suppressed,Li,25.9,1.8,48,171273,NA,NA,NA
TP2,3,ACRU,suppressed,Li,14,2.3,16,171275,NA,NA,NA
TP2,4,PIAB,suppressed,Li,19.6,9.2,72,171277,NA,NA,NA
TP2,5,QURU,dominant,Li,43.9,8.6,50,171278,NA,NA,NA
TP2,6,QURU,intermediate,Li,22.3,4.8,22,171263,NA,NA,NA
TP2,7,ACRU,suppressed,Li,11.3,5.4,42,171266,NA,NA,NA
TP2,8,QURU,codominant,Li,35.4,8,30,171264,NA,NA,NA
TP2,9,QURU,suppressed,dead,19,7.9,34,171265,NA,NA,NA
TP2,10,TSCA,suppressed,Li,16.8,7.2,4,171261,NA,NA,NA
TP2,11,BEAL,intermediate,Li,17.1,9.9,0,171310,NA,NA,NA
TP2,12,BEAL,suppressed,Li,14.2,8.4,18,171262,NA,NA,NA
TP2,13,ACRU,intermediate,Li,12.1,9.5,20,171309,NA,NA,NA
TP2,14,QURU,dominant,Li,36.9,11.8,32,171305,NA,NA,NA
TP2,15,ACRU,suppressed,Li,13.4,12.6,18,171307,NA,NA,NA
TP2,16,ACRU,suppressed,Li,10.1,11.3,70,171279,NA,NA,NA
TP2,17,QURU,dominant,Li,36.8,10,100,171283,NA,NA,NA
TP2,18,QURU,dominant,Li,29.7,11.5,132,171286,NA,NA,NA
TP2,19,QURU,codominant,Li,33.4,8.5,124,171285,NA,NA,NA
TP2,20,ACRU,suppressed,Li,10.2,11.5,98,171282,NA,NA,NA
TP2,21,ACRU,intermediate,Li,16.5,12.6,116,171287,NA,NA,NA
TP2,22,TSCA,suppressed,dead,10.6,3.9,144,171245,NA,NA,NA
TP2,23,TSCA,suppressed,dead,15.8,5.4,130,171246,NA,NA,NA
TP2,24,QURU,codominant,Li,30,6.7,158,171247,NA,NA,NA
TP2,25,NA,suppressed,Lo,13.5,11.3,144,171284,14.8,110,2
TP2,26,QURU,suppressed,dead,20.4,12.2,150,171293,NA,NA,NA
TP2,27,QURU,intermediate,Li,28.5,5.6,180,171248,NA,NA,NA
TP2,28,ACRU,suppressed,Li,12.7,9.8,190,171252,NA,NA,NA
TP2,29,FAGR,suppressed,Li,18.2,4.7,189,171244,NA,NA,NA
TP2,30,ACRU,suppressed,Li,10.8,6.3,206,171243,NA,NA,NA
TP2,31,QURU,dominant,Li,27.9,11.2,184,171251,NA,NA,NA
TP2,32,BEAL,suppressed,dead,24.7,11.3,186,171194,NA,NA,NA
TP2,33,QURU,intermediate,Li,30.8,12.9,190,171193,NA,NA,NA
TP2,34,BEAL,suppressed,dead,20.9,11,194,171253,NA,NA,NA
TP2,35,ACRU,codominant,Li,22.1,11.7,204,171191,NA,NA,NA
TP2,36,BEAL,suppressed,Li,20.4,10.2,212,171255,NA,NA,NA
TP2,37,NA,suppressed,dead,11,10.8,210,171254,NA,NA,NA
TP2,38,QURU,intermediate,Li,19.5,6.9,226,171242,NA,NA,NA
TP2,39,PIAB,suppressed,Li,12.8,7.6,232,161260,NA,NA,NA
TP2,40,NA,suppressed,dead,12,8.8,240,161259,NA,NA,NA
TP2,41,QURU,codominant,Li,52.9,11.3,258,161258,NA,NA,NA
TP2,42,QURU,codominant,Li,46,10.5,258,161257,NA,NA,NA
TP2,43,ACRU,suppressed,Li,13.4,12.2,250,161263,NA,NA,NA
TP2,44,QURU,intermediate,Li,31.6,1.1,298,171276,NA,NA,NA
TP2,45,QURU,dominant,Li,33.4,4.3,298,171258,NA,NA,NA
TP2,46,BEAL,suppressed,Li,18.8,5.6,280,161246,NA,NA,NA
TP2,47,BEAL,suppressed,Li,17.2,7.7,274,161256,NA,NA,NA
TP2,48,BEAL,suppressed,Li,12.5,12.2,272,161254,NA,NA,NA
TP2,49,QURU,intermediate,Li,28.6,11.9,284,161253,NA,NA,NA
TP2,50,ACRU,suppressed,Li,12.2,6.4,334,171259,NA,NA,NA
TP2,51,QURU,suppressed,Li,22.4,8.9,332,161242,NA,NA,NA
TP2,52,TSCA,suppressed,Li,16.6,11.5,334,161323,NA,NA,NA
TP2,53,TSCA,suppressed,Li,13,11.3,334,161324,NA,NA,NA
TP2,54,QURU,dominant,Li,31.7,11.5,343,161321,NA,NA,NA
TP2,55,QURU,codominant,Li,30.4,11.5,308,161240,NA,NA,NA
TP2,56,QURU,codominant,Li,25.1,11.5,306,161241,NA,NA,NA
TP2,57,QURU,intermediate,dead,27.9,11.1,306,161239,NA,NA,NA
TP2,58,BELE,codominant,Li,29.5,14,6,171295,NA,NA,NA
TP2,59,PIST,codominant,Li,40.9,18.5,33,171307,NA,NA,NA
TP2,60,QURU,intermediate,Li,21.3,14.7,21,171302,NA,NA,NA
TP2,61,PIST,codominant,Li,48,19.3,46,171352,NA,NA,NA
TP2,62,QURU,codominant,Li,36.1,15.7,50,171356,NA,NA,NA
TP2,63,QURU,suppressed,Li,22.3,16.1,54,171357,NA,NA,NA
TP2,64,PIST,dominant,Li,43.2,18.2,80,180848,NA,NA,NA
TP2,65,PIAB,suppressed,Li,20.6,13.1,86,171281,NA,NA,NA
TP2,66,QURU,dominant,Li,43.6,16.9,110,180859,NA,NA,NA
TP2,67,QURU,codominant,Li,34.6,19.3,133,180830,NA,NA,NA
TP2,68,QURU,codominant,Li,30.6,18.7,134,180831,NA,NA,NA
TP2,69,QURU,codominant,Li,39.9,14.8,149,171292,NA,NA,NA
TP2,70,QURU,codominant,Li,36.5,17.3,154,171213,NA,NA,NA
TP2,71,TSCA,suppressed,Li,32.7,14.5,166,171209,NA,NA,NA
TP2,72,QURU,codominant,Li,32.1,18.4,170,171206,NA,NA,NA
TP2,73,QURU,codominant,Li,29.8,18.3,168,171207,NA,NA,NA
TP2,74,QURU,codominant,Li,32.8,16.4,182,171195,NA,NA,NA
TP2,75,QURU,suppressed,Sn,23,17,221,161175,NA,NA,NA
TP2,76,ACRU,suppressed,Li,20.9,13.5,245,161265,NA,NA,NA
TP2,77,QURU,suppressed,Li,23.9,18.7,252,161217,NA,NA,NA
TP2,78,TSCA,suppressed,Li,26.8,17.3,280,161231,NA,NA,NA
TP2,79,QURU,suppressed,Li,21.5,13.7,290,161238,NA,NA,NA
TP2,80,QURU,codominant,Li,32.5,15.4,328,161326,NA,NA,NA
TP2,81,QURU,codominant,Li,31,14.8,326,161327,NA,NA,NA
TP2,82,QURU,suppressed,Sn,20.4,13.4,329,161325,NA,NA,NA
TP2,83,QURU,codominant,Li,29.2,17.2,336,161311,NA,NA,NA
TP2,84,TSCA,suppressed,Li,37,14,346,161320,NA,NA,NA
TP2,85,QURU,intermediate,Li,22.4,16.9,355,161318,NA,NA,NA
TP2,86,QURU,codominant,Li,28.5,17.5,356,161317,NA,NA,NA
TP2,87,QURU,suppressed,Lo,11.1,0.7,167,NA,7.5,136,3
TP2,88,ACRU,suppressed,Lo,13.2,10.3,150,NA,7.8,70,3
TP2,90,NA,suppressed,Lo,14.7,7.6,90,NA,6.6,56,5
TP2,91,NA,NA,Sh,36.1,16.3,141,NA,NA,NA,5
TP2,92,NA,NA,Lo,20.5,15.6,125,NA,11.8,130,5
TP2,93,NA,NA,Sh,16.9,12.2,130,NA,NA,NA,5
TP2,94,NA,NA,Sh,23.1,17,130,NA,NA,NA,5
TP2,95,QURU,codominant,Lo,14.1,12.6,90,NA,25.2,96,3
TP2,96,NA,NA,Sh,29.9,17.6,77,NA,NA,NA,5
TP2,97,NA,NA,Sh,11.2,11.7,64,NA,NA,NA,5
TP2,98,NA,NA,Sh,31.7,10.2,76,NA,NA,NA,5
TP2,99,NA,NA,Sh,32.8,10.9,74,NA,NA,NA,5
TP2,100,NA,NA,Lo,12.9,7.5,96,NA,6.5,36,5
TP2,101,NA,suppressed,Lo,11.4,6.9,54,NA,5,316,4
TP2,102,QURU,suppressed,Sn,16.5,5.8,342,NA,NA,NA,3
TP2,103,NA,NA,Sh,22.6,18.7,342,NA,NA,NA,5
TP2,104,NA,NA,Sh,20.2,18.3,18,NA,NA,NA,5
TP2,105,NA,NA,Sh,30.8,16.1,30,NA,NA,NA,5
TP2,106,NA,NA,Sh,11.2,12.2,47,NA,NA,NA,5
TP2,107,NA,NA,St,10.1,10.9,42,NA,NA,NA,4
TP2,108,NA,NA,Lo,18.7,9.4,38,NA,8.5,22,5
TP2,109,NA,NA,Sh,38.8,6.7,320,NA,NA,NA,5
TP2,110,ACRU,suppressed,Lo,10.2,4.4,263,NA,4.6,8,3
TP2,111,NA,NA,Sh,22,5.3,260,NA,NA,NA,5
TP2,112,BELE,suppressed,Lo,10.3,6.3,240,NA,4.6,150,3
TP2,113,ACRU,suppressed,Lo,13.7,3.7,170,NA,2.5,70,4
TP2,114,NA,NA,St,20.8,2.4,178,NA,NA,NA,5
TP2,115,NA,suppressed,Lo,16.6,3.1,218,NA,13.5,235,4
TP2,116,NA,suppressed,Lo,12.7,8.7,250,NA,5.8,234,3
TP2,117,TSCA,suppressed,Lo,12.3,9.8,340,NA,5.5,248,3
TP2,118,TSCA,suppressed,Lo,12.8,7.6,178,NA,6.8,236,3
TP2,119,NA,NA,St,42.3,14.6,204,NA,NA,NA,5
TP2,120,NA,NA,Lo,47.5,18.1,235,NA,21.2,209,5
TP2,121,NA,NA,Sh,19.1,9,337,NA,NA,NA,5
TP2,122,NA,NA,Sh,21,7.7,310,NA,NA,NA,5
TP2,123,NA,NA,Sh,23.1,6.3,316,NA,NA,NA,5
TP2,124,NA,NA,Sh,19.3,17.5,316,NA,NA,NA,5
TP2,125,NA,NA,Sh,18.1,9.8,312,NA,NA,NA,5
TP2,126,NA,NA,Sh,22.9,10.9,309,NA,NA,NA,5
TP2,127,NA,NA,Sh,25,10.4,296,NA,NA,NA,5
